Price,Bedrooms,Bathrooms,Size
795000,3,3,2371
399000,4,3,2818
545000,4,3,3032
909000,4,4,3540
109900,3,1,1249
324900,3,3,1800
192900,4,2,1603
215000,3,2,1450
999000,4,3,3360
319000,3,2,1323
350000,3,2,1750
249000,3,2,1400
299000,2,2,1257
235900,3,2,1400
348000,3,2,1600
314000,4,3,1794
399000,4,2,1850
599000,3,3,2950
299000,3,2,1719
425000,3,3,1472
1100000,4,3,4168
1500000,3,3,3880
110000,2,1,1000
200000,3,2,1139
134900,3,1,1080
250000,4,3,2000
950000,3,4,1920
239950,4,2,1348
170000,3,2,1280
285000,3,2,2400
279000,3,3,1700
219000,3,2,1600
155000,3,2,1050
389000,3,2,1415
340000,3,1,1110
95000,2,1,797
140000,2,2,1100
1100000,3,3,2602
360000,4,3,2351
415000,3,3,1350
250000,4,2,1206
559000,3,3,2628
525000,3,3,2365
779000,3,3,2990
595000,3,2,1750
1150000,4,5,5500
550000,3,2,1852
500000,3,2,2100
279000,4,3,2580
375000,4,2,1963
330000,3,3,1900
199000,3,3,1450
165000,2,2,1000
1399000,4,3,6500
255000,3,2,1218
325000,2,2,893
789000,3,3,2100
498000,4,3,2341
430000,4,2,2168
539900,4,3,3032
499000,3,2,1293
275000,3,2,1200
499000,3,4,2250
899000,3,3,2430
1045000,3,3,2100
774000,2,2,1550
239000,3,3,1800
195000,3,2,1218
325000,2,1,768
320000,4,2,1929
275000,4,3,1877
329000,3,2,1700
140000,3,2,1080
409000,4,3,2192
167900,3,2,1296
325000,7,5,2688
119000,1,1,900
245000,4,2,1482
259900,3,2,1726
495000,3,2,1486
399000,4,2,1543
329700,4,2,1367
199000,1,1,712
149000,3,2,1040
225000,3,2,1456
195000,2,1,811
359900,3,3,1951
799000,4,4,3100
595000,3,2,2117
89000,3,2,1560
129900,3,1,1042
375000,3,3,1519
599000,3,2,2774
235000,3,2,1340
255900,3,2,1440
148900,5,2,1064
749000,3,2,2145
189900,3,2,1472
183000,3,1,888
232600,3,3,1582
520000,3,2,1680
355000,3,3,1702
275000,0,1,398
225000,4,3,1940
161900,3,2,1200
249999,3,3,2013
208000,2,1,1267
135000,3,1,1100
385000,2,3,1389
750000,4,4,3387
810000,4,3,3305
890000,4,5,4229
895000,4,3,3676
229900,3,2,1458
240000,2,2,1020
429000,4,3,2513
399000,4,3,2800
385000,3,2,2000
294900,3,2,1316
399000,3,2,1220
269000,3,3,1780
449000,3,3,2120
555900,5,3,2947
319900,4,2,2135
332000,4,4,1872
499000,4,5,3400
432000,4,3,3113
199000,2,1,827
29000,2,2,1500
299000,3,2,1270
259000,4,3,1857
99000,1,1,538
779000,2,2,1223
839000,2,2,1223
525000,3,2,1746
795000,3,2,2092
337000,4,2,2000
164900,2,1,750
449000,2,3,1650
94000,2,2,797
899000,3,3,2266
180000,3,2,1280
194900,3,2,1092
350000,3,2,1509
167770,3,3,1793
309900,3,2,1705
479000,2,3,2100
350000,3,2,1582
350000,3,2,1470
275000,3,2,1424
379000,4,3,2277
155900,4,2,3368
229000,3,2,1458
604995,2,3,1749
599000,3,3,1996
359000,3,2,1008
199000,4,2,1527
164900,3,2,1440
179000,3,2,1815
370000,4,2,2064
999000,5,4,2402
365000,3,3,2136
345000,3,2,1498
299000,2,1,1068
519500,2,1,634
645000,4,4,3000
242500,3,2,1218
259900,3,3,1300
310000,4,3,2014
450000,2,2,1463
220000,2,2,1541
585000,3,2,1268
324000,5,4,2400
375000,1,1,551
329000,3,2,1420
599900,5,3,2764
74900,2,2,1014
285000,3,2,1120
751900,3,3,3400
295000,3,2,1386
170000,3,2,1320
197000,3,2,1376
1250000,3,3,2586
249000,3,2,1662
179000,2,2,1033
132000,3,1,1050
425000,3,2,1500
290000,5,3,2500
150000,2,2,896
150000,2,2,896
150000,2,2,896
150000,2,2,896
150000,2,2,896
205000,2,2,1388
599000,4,3,3120
269000,3,3,1352
249000,4,3,1963
235000,3,3,1541
469000,4,3,2449
159000,4,2,1660
69900,3,1,936
1499000,5,7,6800
239000,3,2,1022
399500,3,2,1665
299900,3,2,1209
275000,3,2,1700
395000,4,2,1736
105000,1,1,731
179999,3,2,1086
219000,3,2,1131
325000,3,3,1500
829900,4,3,3827
165000,2,1,1100
179000,3,2,1398
279000,3,2,1381
820000,4,4,3387
399000,2,1,1250
164900,3,1,965
235000,4,2,1860
1900000,4,5,5411
289000,3,2,1367
355000,3,2,1640
199000,3,2,1269
209000,3,2,1275
186900,3,1,912
240000,4,2,1460
515000,2,2,2000
215000,4,2,1750
399900,4,4,3050
369000,4,3,2371
250000,2,2,1292
259000,3,2,1640
180000,2,2,1082
399900,3,2,1522
385000,3,2,1535
154000,2,2,1100
254900,2,2,966
315000,4,2,1653
437500,3,3,2523
299900,3,3,2511
399000,3,3,1772
330000,3,3,1889
279000,2,2,880
248000,3,2,1400
209000,3,3,1494
729000,3,2,1844
454500,4,3,1900
249000,3,2,1176
1700000,3,5,4463
349000,3,2,1635
575000,3,3,2095
185000,3,2,1300
165000,3,2,1200
311900,0,1,910
175000,3,2,1600
180000,4,2,1332
78000,2,2,1680
142900,2,1,1313
850000,4,4,3744
389000,3,2,1998
641900,3,3,2714
305000,4,2,1797
260000,3,3,1687
320000,3,2,1663
199000,2,1,792
299000,2,2,1410
289000,2,2,1085
229900,3,3,1900
865000,4,3,3305
900000,4,4,3962
199000,2,3,1260
160000,2,3,1200
299000,3,3,2400
300000,3,3,1265
270000,4,2,1460
490000,3,3,1894
295000,3,3,1800
225000,3,2,1550
324900,2,2,1426
165000,3,2,1110
157900,3,2,1075
299000,3,2,1756
369000,3,3,2150
233000,4,2,1650
109900,2,2,1200
309000,3,2,1488
1799000,4,4,3609
209900,2,2,1113
499000,3,2,1600
525000,4,2,1961
650000,3,3,3249
529000,3,3,1510
179000,3,2,1300
282000,3,3,1736
899000,4,3,3008
130000,3,2,1850
205000,3,2,1146
180900,2,2,1100
409900,4,4,2135
409900,4,4,2135
469000,3,2,1827
289000,3,1,1005
99999,2,3,1800
445000,5,3,3307
640000,3,3,2160
185000,3,2,1062
210000,4,2,1102
199900,3,2,1215
225000,3,2,1600
369900,4,2,2161
120000,3,2,1686
199000,2,1,1000
520000,3,3,2600
579000,5,3,3150
300000,4,2,1257
325000,3,2,1171
225000,3,2,1144
395000,2,1,1160
399000,4,3,2300
165000,3,2,1144
374900,3,2,1368
199900,3,2,1238
365000,3,1,1056
222900,2,2,1086
249900,2,1,720
290000,3,2,1426
170500,4,2,1361
560000,3,3,2344
339900,4,2,1925
550000,4,3,2600
269900,4,2,1601
350000,3,2,1395
214000,2,2,1042
299900,3,2,1200
139500,2,2,1248
360000,4,3,3000
315000,3,2,1300
279900,3,2,1244
399000,4,2,2139
475000,4,3,2450
65900,2,2,840
212000,4,3,1878
180000,3,2,1350
210000,4,2,1377
375000,3,3,1475
106900,2,2,894
221830,3,2,1550
239000,3,2,1106
187500,1,1,594
445000,5,3,3200
309000,3,2,1906
315000,3,2,2004
191100,3,1,1200
699900,5,3,1818
189500,2,2,1040
199000,4,2,1400
359000,4,3,2209
264450,3,1,1030
459000,3,2,1999
150000,3,2,1316
875000,3,3,2200
599000,2,2,1200
250000,3,3,1261
165000,3,2,1120
229900,4,3,1857
229900,3,2,1400
269900,3,2,1139
245000,5,3,6098
165000,3,2,1300
429000,3,3,2041
309900,4,3,2248
265000,2,1,972
169900,4,2,1500
380900,3,2,2000
315000,4,3,1939
260000,3,2,1413
119900,3,2,1312
211500,3,2,1275
149000,2,1,854
890000,3,3,3474
289900,3,2,1380
289000,4,3,2100
399900,3,2,1487
125000,3,2,900
359900,5,3,3036
239000,3,3,1800
199900,3,3,1600
179900,4,3,2150
195000,3,2,1300
299000,2,2,896
265000,2,3,1700
699000,3,2,1700
275000,2,2,1194
169990,3,2,1465
189000,3,3,1530
695000,4,2,2032
105000,2,2,1088
365000,4,4,4000
335900,3,3,1296
170000,3,2,944
339900,4,2,2100
359900,3,3,2340
143000,3,2,1080
199000,3,2,1196
374800,3,3,1365
499000,3,2,2120
138900,2,1,1055
1999000,4,5,5307
359000,3,2,1774
294900,4,2,1856
299500,4,2,1836
427900,4,3,2367
269000,3,2,1181
449000,3,3,2563
144900,2,2,1130
345000,3,3,2020
239000,4,2,1240
310000,2,1,780
225000,3,3,1800
695000,5,6,3750
242500,3,3,1650
249250,2,1,728
479000,3,2,1462
169900,3,2,1150
219900,3,3,1660
150000,2,2,1440
649000,4,2,1814
285000,4,3,2100
163999,3,2,1488
349000,4,2,1718
409900,3,2,1716
275000,3,2,1320
179900,3,2,1200
789000,3,3,2218
299000,4,3,1768
850000,5,4,3588
295900,3,2,1776
199000,4,3,1467
199900,3,3,1950
179900,3,2,1288
290000,3,3,1733
168000,3,2,1128
270000,3,3,1900
1249000,6,7,5103
240000,3,2,1255
219500,5,2,1802
235000,4,3,2336
239800,2,2,1190
269000,3,3,1800
319200,4,3,2006
402500,3,2,2446
425000,3,2,2114
669000,3,3,2600
369000,3,2,1514
239900,3,2,1080
249500,2,2,1088
557000,4,2,1809
339900,6,3,2053
149900,2,2,969
849900,3,4,3375
307000,3,2,1594
259000,4,3,1900
165000,3,2,1050
289900,3,2,1414
879000,3,4,3698
220000,3,2,1200
309000,3,3,1685
580000,3,3,2271
459900,2,2,1150
299000,5,3,2481
309900,4,3,1600
287000,3,2,1269
310000,3,2,1200
229900,3,2,1198
377000,3,2,1363
295000,4,2,1973
225000,3,2,1516
130000,3,2,1080
169990,2,1,920
145000,3,2,1027
184800,4,2,2018
189900,3,2,1253
249000,3,2,1062
185000,4,2,1934
145000,2,2,1041
429000,5,3,2700
419000,2,2,1587
245000,3,3,1859
289900,4,3,2400
175000,3,2,1110
139000,3,2,1075
514900,4,3,2035
549000,3,2,1858
235000,3,3,1261
399000,6,3,2628
259900,3,2,1120
350900,3,2,1686
1399900,4,4,5190
399000,3,2,1840
399000,3,2,1204
199000,2,1,973
350000,3,2,1622
296800,4,2,2125
165000,3,2,1204
210000,3,3,1750
229000,3,2,1458
199500,3,2,1184
110000,3,2,1000
264900,3,3,1197
449900,3,3,2135
159900,3,2,1114
429000,4,2,1870
265000,1,1,566
279900,2,2,1134
174900,3,2,1100
158900,4,2,1144
150000,3,2,1349
269000,3,3,1281
489900,3,3,1957
256000,4,2,1174
335000,4,3,2400
435000,3,2,1236
280000,3,3,1910
409000,4,2,2064
409000,4,2,2064
399000,4,3,1888
389000,4,2,1862
222600,3,2,1106
140000,3,2,1200
220000,5,3,2408
650000,3,3,2703
405000,3,2,1728
409000,3,2,1960
164900,3,2,1092
59900,1,1,628
199900,3,2,1275
95000,2,1,756
170000,2,2,885
720000,4,4,3531
204000,3,2,1712
220000,3,2,1100
498900,4,3,1500
229900,3,2,1671
531905,3,2,1668
114900,2,1,775
145000,3,2,1200
191330,4,2,1237
199900,4,2,1338
266800,4,3,2100
84900,2,2,1222
250000,3,2,1807
220000,4,2,1352
227900,3,2,1503
384900,4,2,1571
529000,4,3,2502
159900,3,2,1526
199000,3,2,1007
125000,3,3,1306
91500,3,2,1313
155000,3,2,1593
409000,3,3,2203
949000,5,4,5200
90000,2,1,756
300000,3,3,2328
179900,3,2,1008
349000,3,2,1346
220000,3,2,1112
155000,3,2,1340
390000,4,2,2236
425000,5,4,3039
249900,3,2,1733
239000,4,3,1947
395000,4,3,1868
375000,3,3,1475
395000,4,3,1868
395000,4,3,1868
230000,4,3,1927
189000,3,2,1292
304900,3,2,1657
169900,3,2,1300
286500,3,2,1700
325000,4,2,2400
375000,3,2,1278
278000,3,2,1396
149000,3,2,1368
209000,3,2,1520
95000,2,2,900
199900,3,2,1407
185000,3,2,1170
449900,4,3,3035
310000,5,4,2900
239900,4,2,1656
187900,2,2,980
450000,3,2,1916
440000,3,3,1756
260000,3,2,1278
40900,3,1,1201
249000,3,2,1275
349000,3,3,2000
175000,3,2,1200
449970,3,2,2000
419000,3,2,1902
400000,3,3,1568
185000,3,2,1257
139900,2,2,1100
174900,3,2,1461
165360,4,2,1353
169000,3,2,1200
240000,3,3,2039
364000,4,3,2150
250000,1,1,748
299900,4,3,1969
281900,4,3,2357
349900,3,1,1522
220000,3,2,1850
774800,3,4,3123
135000,3,2,1200
149900,3,1,1000
599000,3,2,2082
179000,3,2,1200
177000,3,2,1500
177000,3,2,1500
122500,4,2,1248
239500,3,2,1400
214900,3,2,1080
275000,3,2,1460
425000,3,2,1437
274900,2,2,1218
175000,2,2,1152
535000,2,2,1410
540000,2,1,817
389000,2,2,703
250000,3,2,1425
425000,3,2,1807
1195000,5,4,3800
1350000,3,3,2502
78500,1,1,800
549000,3,2,2237
399900,4,2,1860
699000,10,11,4905
129000,2,2,1200
480000,2,2,1698
189000,3,1,1022
639900,3,2,2080
699900,5,4,3000
999000,3,3,3621
599000,3,2,1570
365000,4,2,1860
359900,3,2,1840
995000,4,4,3740
193450,4,2,1217
179900,3,3,1520
329900,3,2,1240
509000,3,2,1936
995000,3,3,2044
545000,3,2,1946
795000,3,3,2028
830000,4,3,2700
54500,2,1,624
149000,3,2,1800
36000,2,2,1056
349000,3,2,1467
299900,4,3,2150
469000,4,2,2004
1195000,2,2,1044
419900,3,2,1576
189000,2,2,1536
163900,3,2,1082
163900,3,2,1237
648000,3,3,2193
130000,3,2,1022
264900,3,2,1232
189900,4,2,1435
200000,4,2,1430
1249000,3,3,2480
525000,3,3,1832
729000,3,3,1953
109900,3,2,1100
850000,3,2,2481
249500,3,2,1704
179900,3,2,1161
149000,3,2,1440
549000,3,2,1701
435000,3,2,1536
299000,3,2,1310
625000,3,2,2187
399000,4,3,2100
186900,4,2,1511
1290000,3,3,2130
264900,2,3,1400
198900,3,2,1225
318000,3,3,1868
2000000,4,4,3576
598000,2,3,2219
439900,3,3,2508
920000,3,3,2817
179900,3,2,1972
325000,2,1,952
369000,3,2,1080
312900,3,2,1454
575000,3,3,1961
26500,2,2,1344
2369000,5,6,4174
67500,2,2,120
1490000,3,3,3201
652000,3,2,1427
449000,3,3,2100
982800,3,2,2306
235000,4,3,2100
579900,4,3,3166
250000,3,2,1280
100000,3,1,870
125000,2,1,960
650000,2,2,919
119900,2,2,1034
209900,3,2,1356
524900,3,2,2380
349000,5,3,3000
349000,5,3,3000
825000,2,3,1840
255000,3,2,1189
259000,4,2,1336
199000,2,1,832
410000,5,3,2100
199000,3,1,940
270000,3,2,1344
695000,2,2,1437
2995000,5,4,3684
131900,1,2,300
995000,4,3,2717
250000,4,3,2097
239800,5,2,1575
425000,6,3,2628
525000,3,2,1750
459900,3,2,1346
229900,3,2,1041
199900,3,2,1526
599000,4,2,1728
197600,4,2,1378
355000,2,1,1145
339900,3,2,1325
299000,3,3,1850
166800,4,2,1765
379000,4,2,1631
1395000,4,4,2693
150000,3,2,1316
475000,3,2,1382
265000,4,3,2300
265000,3,2,1617
225000,2,2,1150
249900,2,2,1674
509000,3,2,1543
214900,2,2,1351
5499000,4,5,5060
349900,3,2,2000
125000,2,2,1536
549000,2,2,924
865000,3,3,1860
1600000,3,3,2640
1065000,4,4,3395
625000,3,2,1850
249999,3,2,1000
975000,4,3,2720
204900,2,1,992
355000,3,2,1737
134900,3,3,1435
199900,5,3,1671
349900,4,3,2800
99000,2,2,900
409000,4,3,2507
339000,2,2,1440
595000,3,3,2238
849500,3,3,2725
399000,2,3,1772
399000,4,2,1947
525000,3,2,1720
319900,3,3,1605
495000,3,2,1877
372000,3,2,1104
589000,3,2,1975
1100000,3,3,2392